,date,fa_date,reason
6,2002-04-01,13810112,12 فروردین روز جمهوری اسلامی
7,2002-04-02,13810113,13 فروردین جشن سیزده به در
8,2002-05-03,13810213,13 اردیبهشت اربعین حسینی[ 20 صفر ]
9,2002-05-11,13810221,21 اردیبهشت رحلترسول اکرم؛شهادت امام حسن مجتبی علیه السلام[ 28 صفر ]
10,2002-05-13,13810223,23 اردیبهشت شهادت امام رضا علیه السلام[ 30 صفر ]
11,2002-05-21,13810231,31 اردیبهشت شهادت امام حسن عسکری علیه السلام[ 8 ربيع الاول ]
12,2002-05-30,13810309,9 خرداد میلاد رسول اکرم و امام جعفر صادق علیه السلام[ 17 ربيع الاول ]
13,2002-06-04,13810314,14 خرداد رحلت حضرت امام خمینی
14,2002-06-05,13810315,15 خرداد قیام 15 خرداد
15,2002-08-12,13810521,21 اَمرداد شهادت حضرت فاطمه زهرا سلام الله علیها[ 3 جمادي الثانيه ]
16,2002-09-21,13810630,30 شهریورولادت امام علی علیه السلام و روز پدر[ 13 رجب ]
17,2002-10-05,13810713,13 مهر مبعث رسول اکرم (ص)[ 27 رجب ]
18,2002-10-22,13810730,30 مهر ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان[ 15 شعبان ]
19,2002-11-27,13810906,6 آذر شهادت حضرت علی علیه السلام[ 21 رمضان ]
20,2002-12-06,13810915,15 آذر عید سعید فطر[ 1 شوال ]
21,2002-12-07,13810916,16 آذر تعطیل به مناسبت عید سعید فطر[ 2 شوال ]
22,2002-12-30,13811009,9 دی شهادت امام جعفر صادق علیه السلام[ 25 شوال ]
